accuracy,wpm,game_num,time,racers_num,points
1,120.05,2549,2021-09-08T02:16:29Z,5,80.04
0.99,112.41,2548,2021-09-08T02:15:57Z,4,56.21
0.98,103.93,2547,2021-09-08T02:13:55Z,5,129.91
0.97,105.28,2546,2021-09-08T01:38:45Z,5,93
0.98,106.13,2545,2021-09-08T00:23:58Z,4,279.47
0.98,110.29,2544,2021-09-08T00:21:59Z,4,158.08
0.99,120.67,2543,2021-09-08T00:20:53Z,5,181
1,124.84,2542,2021-09-08T00:19:45Z,5,118.6
0.98,106.98,2541,2021-09-07T22:19:29Z,5,64.19
0.98,110.43,2540,2021-09-07T22:18:56Z,5,149.07
0.98,99.48,2539,2021-09-07T22:17:55Z,5,82.9
0.98,116.32,2538,2021-09-07T22:17:17Z,5,93.06
0.97,99.38,2537,2021-09-07T22:16:41Z,5,94.41
0.97,112.82,2536,2021-09-07T22:15:51Z,5,109.06
0.98,109.02,2535,2021-09-07T22:15:08Z,5,134.46
0.99,118.12,2534,2021-09-07T22:13:41Z,5,76.78
0.98,102.24,2533,2021-09-07T22:13:09Z,5,115.88
0.98,117.12,2532,2021-09-07T22:12:15Z,5,78.08
0.99,119.44,2531,2021-09-07T22:11:42Z,5,167.22
0.98,127.18,2530,2021-09-06T22:07:08Z,5,52.99
0.97,104.26,2529,2021-09-06T22:06:43Z,4,93.84
0.99,133.72,2528,2021-09-06T22:04:39Z,5,133.72
0.96,101.11,2527,2021-09-06T22:03:57Z,5,82.57
0.98,109.29,2526,2021-09-06T22:03:15Z,5,89.26
0.97,106.56,2525,2021-09-06T22:02:38Z,4,99.46
0.98,121.03,2524,2021-09-06T22:01:57Z,3,133.13
0.99,112.12,2523,2021-09-06T22:00:40Z,4,151.36
0.96,101.56,2522,2021-09-06T21:58:07Z,5,103.25
0.96,106.72,2521,2021-09-06T21:57:17Z,5,49.8
0.96,109.14,2520,2021-09-06T21:56:47Z,4,94.59
0.97,103.98,2519,2021-09-06T21:55:31Z,4,209.7
0.98,113.75,2518,2021-09-06T00:22:20Z,4,70.14
0.97,109.12,2517,2021-09-06T00:21:50Z,5,56.38
0.98,101.28,2516,2021-09-06T00:02:01Z,5,84.4
0.97,98.61,2515,2021-09-02T03:19:46Z,5,82.17
0.96,97.76,2514,2021-09-02T03:19:00Z,5,63.54
0.99,124.54,2513,2021-09-02T03:18:20Z,3,105.86
0.97,106.6,2512,2021-09-02T03:17:15Z,4,119.03
0.98,110.77,2511,2021-09-02T03:16:25Z,5,75.7
0.97,108.14,2510,2021-09-02T03:15:45Z,5,75.7
0.98,116.24,2509,2021-09-02T03:15:06Z,5,137.56
0.98,112.8,2508,2021-09-02T03:13:44Z,5,107.16
0.98,110.34,2507,2021-09-02T03:13:04Z,4,196.77
0.99,120.7,2506,2021-09-02T03:11:56Z,5,92.53
0.98,100.49,2505,2021-09-02T03:11:19Z,3,108.87
1,143.91,2504,2021-09-02T03:09:10Z,5,119.93
0.98,114.04,2503,2021-09-02T03:06:32Z,5,47.51
0.96,100.89,2502,2021-09-02T03:06:08Z,4,77.35
0.98,107.25,2501,2021-09-01T22:51:15Z,5,126.91
0.98,108.77,2500,2021-09-01T22:50:18Z,3,101.52
1,140.31,2499,2021-09-01T22:49:16Z,5,105.23
0.97,108.32,2498,2021-09-01T22:47:46Z,5,79.44
0.99,116.98,2497,2021-09-01T22:46:49Z,5,76.04
0.98,106.07,2496,2021-09-01T22:45:29Z,5,74.25
0.98,110.2,2495,2021-09-01T22:44:53Z,5,67.96
0.99,130.31,2494,2021-09-01T22:44:18Z,5,82.53
0.98,104.15,2493,2021-09-01T04:36:06Z,5,67.7
0.98,115.29,2492,2021-09-01T04:35:29Z,5,76.86
0.98,116.85,2491,2021-09-01T04:34:54Z,4,190.86
0.98,100.72,2490,2021-09-01T04:33:53Z,5,38.61
0.97,101.46,2489,2021-09-01T04:33:30Z,5,98.08
0.98,115.46,2488,2021-09-01T04:32:39Z,5,146.25
0.98,110.01,2487,2021-09-01T04:31:48Z,5,64.17
0.97,103.74,2486,2021-09-01T04:29:35Z,5,76.07
0.96,96.8,2485,2021-09-01T04:28:56Z,4,82.28
0.99,116.4,2484,2021-09-01T04:28:02Z,5,126.1
0.98,104.56,2483,2021-09-01T04:27:09Z,5,62.73
0.98,107.77,2482,2021-09-01T04:22:59Z,4,138.3
0.99,137.2,2481,2021-09-01T04:22:04Z,5,70.89
1,128.96,2480,2021-08-30T19:36:56Z,3,64.48
0.98,112.16,2479,2021-08-30T18:59:33Z,4,65.43
0.98,116.25,2478,2021-08-30T18:57:47Z,5,162.76
0.98,110.1,2477,2021-08-30T18:56:49Z,4,99.09
0.98,105.96,2476,2021-08-30T18:56:05Z,4,67.11
0.98,104.97,2475,2021-08-30T18:55:00Z,5,75.23
1,125.4,2474,2021-08-30T18:54:19Z,5,108.68
0.98,116.82,2473,2021-08-30T18:53:39Z,5,93.46
0.96,96.28,2472,2021-08-30T18:53:01Z,5,46.54
0.97,107.22,2471,2021-08-30T18:51:42Z,5,134.03
0.97,88.85,2470,2021-08-30T18:50:29Z,3,42.94
0.97,98.65,2469,2021-08-30T17:25:20Z,5,87.14
0.98,106.24,2468,2021-08-30T17:24:36Z,5,136.34
0.98,116.15,2467,2021-08-30T16:24:01Z,4,112.28
0.99,116.24,2466,2021-08-30T14:17:18Z,4,151.11
0.98,92.38,2465,2021-08-30T14:15:04Z,5,76.98
